show_name,episode_name,season,episode,start_datetime_EST,duration_hh_mm_ss,end_datetime_EST,media_type,start_timestamp,completed,watch_time_seconds,completed_percent,contentId,mediaId,language
Bad Boys,Bad Boys,0,0,2024-09-09 19:23:43,0:04:57,2024-09-09 19:28:40,movie,1725924223000,no,297,4,907048,38511,en
Anyone But You,Anyone But You,0,0,2024-09-09 19:18:18,0:03:44,2024-09-09 19:22:02,movie,1725923898000,no,224,3,2868692,55923,en
